Ticker,Quandl_Code,Name,Exchange,Last Trade Date
A,EOD/A,Agilent Technologies Inc.,NYSE,3/19/2020
AA,EOD/AA,Alcoa Corporation,NYSE,3/19/2020
AAAU,EOD/AAAU,Perth Mint Physical Gold,NYSE Arca,3/19/2020
AACG,EOD/ATAI,ATA Creativity Global,NASDAQ,3/19/2020
AADR,EOD/AADR,AdvisorShares Dorsey Wright ADR,NYSE Arca,3/19/2020
AAL,EOD/AAL,American Airlines Group Inc.,NASDAQ,3/19/2020
AAMC,EOD/AAMC,Altisource Asset Management Corp Com,NYSE MKT,3/19/2020
AAME,EOD/AAME,Atlantic American Corporation,NASDAQ,3/19/2020
AAN,EOD/AAN,Aaron's Inc.,NYSE,3/19/2020
AAOI,EOD/AAOI,Applied Optoelectronics Inc.,NASDAQ,3/19/2020
AAON,EOD/AAON,AAON Inc.,NASDAQ,3/19/2020
AAP,EOD/AAP,Advance Auto Parts Inc W/I,NYSE,3/19/2020
AAPL,EOD/AAPL,Apple Inc.,NASDAQ,3/19/2020
AAT,EOD/AAT,American Assets Trust Inc.,NYSE,3/19/2020
AAU,EOD/AAU,Almaden Minerals Ltd.,NYSE MKT,3/19/2020
AAWW,EOD/AAWW,Atlas Air Worldwide Holdings,NASDAQ,3/19/2020
AAXJ,EOD/AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,NASDAQ,3/19/2020
AAXN,EOD/AAXN,Axon Enterprise Inc.,NASDAQ,3/19/2020
AB,EOD/AB,AllianceBernstein Holding L.P. Units,NYSE,3/19/2020
ABB,EOD/ABB,ABB Ltd,NYSE,3/19/2020
ABBV,EOD/ABBV,AbbVie Inc.,NYSE,3/19/2020
ABC,EOD/ABC,AmerisourceBergen Corporation,NYSE,3/19/2020
ABCB,EOD/ABCB,Ameris Bancorp,NASDAQ,3/19/2020
ABDC,EOD/ABDC,Alcentra Capital Corp.,NASDAQ,1/31/2020
ABEO,EOD/ABEO,Abeona Therapeutics Inc.,NASDAQ,3/19/2020
ABEQ,EOD/ABEQ,Unified Series Trust - Absolute Core Strategy ETF,NYSE Arca,3/19/2020
ABEV,EOD/ABEV,Ambev S.A. American Depositary Shares (Each representing 1),NYSE,3/19/2020
ABG,EOD/ABG,Asbury Automotive Group Inc,NYSE,3/19/2020
ABIO,EOD/ABIO,ARCA biopharma Inc.,NASDAQ,3/19/2020
ABM,EOD/ABM,ABM Industries Incorporated,NYSE,3/19/2020
ABMD,EOD/ABMD,ABIOMED Inc.,NASDAQ,3/19/2020
ABR,EOD/ABR,Arbor Realty Trust,NYSE,3/19/2020
ABR.P.A,EOD/ABR_P_A,Arbor Realty Trust Preferred Series A,NYSE,3/19/2020
ABR.P.B,EOD/ABR_P_B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,NYSE,3/19/2020
ABR.P.C,EOD/ABR_P_C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,NYSE,3/19/2020
ABT,EOD/ABT,Abbott Laboratories,NYSE,3/19/2020
ABTX,EOD/ABTX,Allegiance Bancshares Inc.,NASDAQ,3/19/2020
ABUS,EOD/ABUS,Arbutus Biopharma Corporation,NASDAQ,3/19/2020
AC,EOD/AC,Associated Capital Group Inc.,NYSE,3/19/2020
ACA,EOD/ACA,Arcosa Inc.,NYSE,3/19/2020
ACAD,EOD/ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,3/19/2020
ACAM,EOD/ACAM,Acamar Partners Acquisition Corp.,NASDAQ,3/19/2020
ACAMU,EOD/ACAMU,Acamar Partners Acquisition Corp. Units,NASDAQ,3/18/2020
ACAMW,EOD/ACAMW,Acamar Partners Acquisition Corp. Warrant,NASDAQ,3/19/2020
ACB,EOD/ACB,Aurora Cannabis Inc.,NYSE,3/19/2020
ACBI,EOD/ACBI,Atlantic Capital Bancshares Inc.,NASDAQ,3/19/2020
ACC,EOD/ACC,American Campus Communities Inc,NYSE,3/19/2020
ACCO,EOD/ACCO,Acco Brands Corporation,NYSE,3/19/2020
ACEL,EOD/TPGH,Accel Entertainment Inc.,NYSE,3/19/2020
ACEL.WS,EOD/ACEL_WS,Accel Entertainment Inc. Warrants,NYSE,3/19/2020
ACER,EOD/ACER,Acer Therapeutics Inc.,NASDAQ,3/19/2020
ACGL,EOD/ACGL,Arch Capital Group Ltd.,NASDAQ,3/19/2020
ACGLO,EOD/ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,NASDAQ,3/19/2020
ACGLP,EOD/ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,NASDAQ,3/19/2020
ACH,EOD/ACH,Aluminum Corporation of China Limited American Depositary Shares,NYSE,3/19/2020
ACHC,EOD/ACHC,Acadia Healthcare Company Inc.,NASDAQ,3/19/2020
ACHN,EOD/ACHN,Achillion Pharmaceuticals Inc.,NASDAQ,1/27/2020
ACHV,EOD/ACHV,Achieve Life Sciences Inc.,NASDAQ,3/19/2020
ACIA,EOD/ACIA,Acacia Communications Inc.,NASDAQ,3/19/2020
ACIU,EOD/ACIU,AC Immune SA,NASDAQ,3/19/2020
ACIW,EOD/ACIW,ACI Worldwide Inc.,NASDAQ,3/19/2020
ACLS,EOD/ACLS,Axcelis Technologies Inc.,NASDAQ,3/19/2020
ACM,EOD/ACM,AECOM,NYSE,3/19/2020
ACMR,EOD/ACMR,ACM Research Inc.,NASDAQ,3/19/2020
ACN,EOD/ACN,Accenture plc Class A (Ireland),NYSE,3/19/2020
ACNB,EOD/ACNB,ACNB Corporation,NASDAQ,3/19/2020
ACOR,EOD/ACOR,Acorda Therapeutics Inc.,NASDAQ,3/19/2020
ACP,EOD/ACP,Aberdeen Income Credit Strategies Fund,NYSE,3/19/2020
ACRE,EOD/ACRE,Ares Commercial Real Estate Corporation,NYSE,3/19/2020
ACRS,EOD/ACRS,Aclaris Therapeutics Inc.,NASDAQ,3/19/2020
ACRX,EOD/ACRX,AcelRx Pharmaceuticals Inc.,NASDAQ,3/19/2020
ACSG,EOD/ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity,NYSE Arca,3/19/2020
ACST,EOD/ACST,Acasti Pharma Inc.,NASDAQ,3/19/2020
ACT,EOD/ACT,AdvisorShares Vice ETF,NASDAQ,3/19/2020
ACTG,EOD/ACTG,Acacia Research Corporation,NASDAQ,3/19/2020
ACTT,EOD/ACTT,Act II Global Acquisition Corp.,NASDAQ,3/19/2020
ACTTU,EOD/ACTTU,Act II Global Acquisition Corp. Unit,NASDAQ,3/18/2020
ACTTW,EOD/ACTTW,Act II Global Acquisition Corp. Warrant,NASDAQ,3/19/2020
ACU,EOD/ACU,Acme United Corporation.,NYSE MKT,3/19/2020
ACV,EOD/ACV,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,NYSE,3/19/2020
ACWF,EOD/ACWF,iShares Edge MSCI Multifactor Global,NYSE Arca,3/19/2020
ACWI,EOD/ACWI,iShares MSCI ACWI Index Fund,NASDAQ,3/19/2020
ACWX,EOD/ACWX,iShares MSCI ACWI Ex US Index Fund,NASDAQ,3/19/2020
ACY,EOD/ACY,AeroCentury Corp.,NYSE MKT,3/19/2020
ADAP,EOD/ADAP,Adaptimmune Therapeutics plc,NASDAQ,3/19/2020
ADBE,EOD/ADBE,Adobe Inc.,NASDAQ,3/19/2020
ADC,EOD/ADC,Agree Realty Corporation,NYSE,3/19/2020
ADES,EOD/ADES,Advanced Emissions Solutions Inc.,NASDAQ,3/19/2020
ADI,EOD/ADI,Analog Devices Inc.,NASDAQ,3/19/2020
ADIL,EOD/ADIL,Adial Pharmaceuticals Inc,NASDAQ,3/19/2020
ADILW,EOD/ADILW,Adial Pharmaceuticals Inc Warrant,NASDAQ,3/19/2020
ADM,EOD/ADM,Archer-Daniels-Midland Company,NYSE,3/19/2020
ADMA,EOD/ADMA,ADMA Biologics Inc,NASDAQ,3/19/2020
ADMP,EOD/ADMP,Adamis Pharmaceuticals Corporation,NASDAQ,3/19/2020
ADMS,EOD/ADMS,Adamas Pharmaceuticals Inc.,NASDAQ,3/19/2020
ADNT,EOD/ADNT,Adient plc,NYSE,3/19/2020
ADP,EOD/ADP,Automatic Data Processing Inc.,NASDAQ,3/19/2020
ADPT,EOD/ADPT,Adaptive Biotechnologies Corporation,NASDAQ,3/19/2020
ADRA,EOD/ADRA,BLDRS Asia 50 ADR Index Fund,NASDAQ,2/14/2020
ADRD,EOD/ADRD,BLDRS Developed Markets 100 ADR Index Fund,NASDAQ,2/14/2020
ADRE,EOD/ADRE,BLDRS Emerging Markets 50 ADR Index Fund,NASDAQ,3/19/2020
ADRO,EOD/ADRO,Aduro Biotech Inc.,NASDAQ,3/19/2020
ADRU,EOD/ADRU,BLDRS Europe 100 ADR Index Fund,NASDAQ,2/14/2020
ADS,EOD/ADS,Alliance Data Systems Corporation,NYSE,3/19/2020
ADSK,EOD/ADSK,Autodesk Inc.,NASDAQ,3/19/2020
ADSW,EOD/ADSW,Advanced Disposal Services Inc.,NYSE,3/19/2020
ADT,EOD/ADT,ADT Inc.,NYSE,3/19/2020
ADTN,EOD/ADTN,ADTRAN Inc.,NASDAQ,3/19/2020
ADUS,EOD/ADUS,Addus HomeCare Corporation,NASDAQ,3/19/2020
ADVM,EOD/ADVM,Adverum Biotechnologies Inc.,NASDAQ,3/19/2020
ADX,EOD/ADX,Adams Diversified Equity Fund Inc.,NYSE,3/19/2020
ADXN,EOD/ADXN,Addex Therapeutics Ltd,NASDAQ,3/19/2020
ADXS,EOD/ADXS,Advaxis Inc.,NASDAQ,3/19/2020
AE,EOD/AE,Adams Resources & Energy Inc.,NYSE MKT,3/19/2020
AEB,EOD/AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),NYSE,3/19/2020
AEE,EOD/AEE,Ameren Corporation,NYSE,3/19/2020
AEF,EOD/AEF,Aberdeen Emerging Markets Equity Income Fund Inc.,NYSE MKT,3/19/2020
AEFC,EOD/AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,NYSE,3/19/2020
AEG,EOD/AEG,AEGON N.V.,NYSE,3/19/2020
AEGN,EOD/AEGN,Aegion Corp,NASDAQ,3/19/2020
AEHR,EOD/AEHR,Aehr Test Systems,NASDAQ,3/19/2020
AEIS,EOD/AEIS,Advanced Energy Industries Inc.,NASDAQ,3/19/2020
AEL,EOD/AEL,American Equity Investment Life Holding Company,NYSE,3/19/2020
AEL.P.A,EOD/AEL_P_A,American Equity Investment Life Holding Company Depositary Shares Series A,NYSE,3/19/2020
AEM,EOD/AEM,Agnico Eagle Mines Limited,NYSE,3/19/2020
AEMD,EOD/AEMD,Aethlon Medical Inc.,NASDAQ,3/19/2020
AEO,EOD/AEO,American Eagle Outfitters Inc.,NYSE,3/19/2020
AEP,EOD/AEP,American Electric Power Company Inc.,NYSE,3/19/2020
AEP.P.B,EOD/AEP_P_B,American Electric Power Company Inc. Corporate Unit,NYSE,3/19/2020
AER,EOD/AER,AerCap Holdings N.V.,NYSE,3/19/2020
AERI,EOD/AERI,Aerie Pharmaceuticals Inc.,NASDAQ,3/19/2020
AES,EOD/AES,The AES Corporation,NYSE,3/19/2020
AESE,EOD/BRAC,"Allied Esports Entertainment Inc,",NASDAQ,3/19/2020
AEY,EOD/AEY,ADDvantage Technologies Group Inc.,NASDAQ,3/19/2020
AEYE,EOD/AEYE,AudioEye Inc.,NASDAQ,3/19/2020
AEZS,EOD/AEZS,Aeterna Zentaris Inc.,NASDAQ,3/19/2020
AFB,EOD/AFB,AllianceBernstein National Municipal Income Fund Inc,NYSE,3/19/2020
AFC,EOD/AFC,Allied Capital Corporation 6.875% Notes due April 15 2047,NYSE,3/19/2020
AFG,EOD/AFG,American Financial Group Inc.,NYSE,3/19/2020
AFGB,EOD/AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,NYSE,3/19/2020
AFGC,EOD/AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,NYSE,3/19/2020
AFGH,EOD/AFGH,American Financial Group Inc. 6% Subordinated Debentures due 2055,NYSE,3/19/2020
AFH,EOD/AFH,Atlas Financial Holdings Inc.,NASDAQ,3/19/2020
AFI,EOD/AFI,Armstrong Flooring Inc.,NYSE,3/19/2020
AFIN,EOD/AFIN,American Finance Trust Inc.,NASDAQ,3/19/2020
AFINP,EOD/AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,NASDAQ,3/19/2020
AFK,EOD/AFK,VanEck Vectors-Africa Index,NYSE Arca,3/19/2020
AFL,EOD/AFL,AFLAC Incorporated,NYSE,3/19/2020
AFLG,EOD/AFLG,First Trust Active Factor Large Cap,NYSE Arca,3/19/2020
AFMC,EOD/AFMC,First Trust Active Factor Mid Cap,NYSE Arca,3/19/2020
AFMD,EOD/AFMD,Affimed N.V.,NASDAQ,3/19/2020
AFSM,EOD/AFSM,First Trust Active Factor Small Cap,NYSE Arca,3/19/2020
AFT,EOD/AFT,Apollo Senior Floating Rate Fund Inc.,NYSE,3/19/2020
AFTY,EOD/AFTY,Pacer CSOP FTSE China A50,NYSE Arca,3/19/2020
AFYA,EOD/AFYA,Afya Limited,NASDAQ,3/19/2020
AG,EOD/AG,First Majestic Silver Corp. (Canada),NYSE,3/19/2020
AGBA,EOD/AGBA,AGBA Acquisition Limited,NASDAQ,3/17/2020
AGBAR,EOD/AGBAR,AGBA Acquisition Limited Right,NASDAQ,3/19/2020
AGBAU,EOD/AGBAU,AGBA Acquisition Limited Unit,NASDAQ,3/16/2020
AGBAW,EOD/AGBAW,AGBA Acquisition Limited Warrant,NASDAQ,3/12/2020
AGCO,EOD/AGCO,AGCO Corporation,NYSE,3/19/2020
AGD,EOD/AGD,Aberdeen Global Dynamic Dividend Fund,NYSE,3/19/2020
AGE,EOD/AGE,AgeX Therapeutics Inc.,NYSE MKT,3/19/2020
AGEN,EOD/AGEN,Agenus Inc.,NASDAQ,3/19/2020
AGFS,EOD/AGFS,AgroFresh Solutions Inc.,NASDAQ,3/19/2020
AGFSW,EOD/AGFSW,AgroFresh Solutions Inc. Warrants,NASDAQ,3/19/2020
AGG,EOD/AGG,iShares Core U.S. Aggregate Bond,NYSE Arca,3/19/2020
AGGE,EOD/AGGE,IQ Enhanced Core Bond U.S. ETF,NYSE Arca,2/4/2020
AGGP,EOD/AGGP,IQ Enhanced Core Plus Bond U.S.,NYSE Arca,3/19/2020
AGGY,EOD/AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,NYSE Arca,3/19/2020
AGI,EOD/AGI,Alamos Gold Inc. Class A,NYSE,3/19/2020
AGIO,EOD/AGIO,Agios Pharmaceuticals Inc.,NASDAQ,3/19/2020
AGLE,EOD/AGLE,Aeglea BioTherapeutics Inc.,NASDAQ,3/19/2020
AGM,EOD/AGM,Federal Agricultural Mortgage Corporation,NYSE,3/19/2020
AGM.A,EOD/AGM_A,Federal Agricultural Mortgage Corporation,NYSE,3/19/2020
AGM.P.A,EOD/AGM_P_A,Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock Series A,NYSE,3/19/2020
AGM.P.C,EOD/AGM_P_C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,NYSE,3/19/2020
AGM.P.D,EOD/AGM_P_D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,NYSE,3/19/2020
AGMH,EOD/AGMH,AGM Group Holdings Inc.,NASDAQ,3/19/2020
AGN,EOD/AGN,Allergan plc,NYSE,3/19/2020
AGNC,EOD/AGNC,AGNC Investment Corp.,NASDAQ,3/19/2020
AGNCM,EOD/AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,3/19/2020
AGNCN,EOD/AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferre,NASDAQ,3/19/2020
AGNCO,EOD/AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,3/19/2020
AGNCP,EOD/AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferr,NASDAQ,3/19/2020
AGND,EOD/AGND,WisdomTree Barclays U.S. Aggregate Bond Negative D,NASDAQ,3/19/2020
AGO,EOD/AGO,Assured Guaranty Ltd.,NYSE,3/19/2020
AGO.P.B,EOD/AGO_P_B,Assured Guaranty Ltd.,NYSE,3/19/2020
AGO.P.E,EOD/AGO_P_E,Assured Guaranty Ltd.,NYSE,3/19/2020
AGO.P.F,EOD/AGO_P_F,Assured Guaranty Ltd.,NYSE,3/19/2020
AGQ,EOD/AGQ,ProShares Ultra Silver,NYSE Arca,3/19/2020
